Function,Agency,Fund Type,FP Category,Fund,Subfund,Subfund Name,2019-20 Estimates,2018-19 Actuals,2017-18 Actuals,2016-17 Actuals,2015-16 Actuals,2014-15 Actuals,2013-14  Actuals,2012-13  Actuals,2011-12  Actuals,2010-11  Actuals,2009-10  Actuals,2008-09  Actuals,2007-08  Actuals,2006-07  Actuals,2005-06  Actuals,2004-05  Actuals,2003-04  Actuals,2002-03  Actuals,2001-02  Actuals,2000-01  Actuals,1999-00  Actuals,1998-99  Actuals,1997-98  Actuals,1996-97  Actuals,1995-96  Actuals,1994-95  Actuals
Economic Development and Government Oversight,Banking Department,Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,21970,Banking Deptmnt,0,0,0,0,0,0,0,0,0,48557,49855,45425,41312,40065,40719,41702,39515,40635,39154,37300,33499,30687,27556,27049,27663,29502
Economic Development and Government Oversight,Banking Department,Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,21973,Fin Svcs Seized,0,0,0,0,0,0,0,0,0,1,2,2,20,40,19,0,8,97,7,4,51,25,0,0,0,0
Economic Development and Government Oversight,Banking Department,Special Revenue Funds - Other,Grants to Local Gov.,Miscellaneous State Special Revenue,22045,Settlement Enf,0,0,0,0,0,0,0,0,0,906,1035,536,298,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,Banking Department,Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22045,Settlement Enf,0,0,0,0,0,0,0,0,0,3,0,33,0,37,26,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,Development Authority of the North Country,General Fund,Grants to Local Gov.,Community Projects Fund,10251,Comm Proj AA,0,0,0,0,0,0,0,0,0,10,36,507,356,288,733,95,715,1580,1875,330,971,0,0,0,0,0
Economic Development and Government Oversight,Development Authority of the North Country,General Fund,Grants to Local Gov.,Local Assistance Account,10000,Local Assistnce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,885
Economic Development and Government Oversight,Economic Development Capital,Capital Projects Funds - Other,Capital Projects,Capital Projects Fund,300CC,CPF - Auth Bond,0,0,0,0,0,1985,45,0,0,-427,9400,21176,41578,2500,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,Economic Development Capital,Capital Projects Funds - Other,Grants to Local Gov.,Capital Projects Fund,300CC,CPF - Auth Bond,20270,"1,777",2751,1844,6614,8524,11313,9885,17655,30617,8906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Economic Development Program, New York State",Capital Projects Funds - Other,Capital Projects,Capital Projects Fund,300CC,CPF - Auth Bond,0,0,0,0,0,108,88,0,0,0,34,554,6200,2500,162900,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Economic Development Program, New York State",Capital Projects Funds - Other,Grants to Local Gov.,Capital Projects Fund,300CC,CPF - Auth Bond,1639,"5,832",5132,4600,1267,6168,16573,23871,26565,17750,11580,16210,8850,24975,9100,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,Economic Development and Natural Resource Preservation,Capital Projects Funds - Other,Capital Projects,Capital Projects Fund,300CC,CPF - Auth Bond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,1275,20849,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,Economic Development and Natural Resource Preservation,Capital Projects Funds - Other,Grants to Local Gov.,Capital Projects Fund,300CC,CPF - Auth Bond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Economic Development, Department of",General Fund,Grants to Local Gov.,Community Projects Fund,10251,Comm Proj AA,0,0,0,0,0,8,52,159,837,995,2700,4206,3044,3261,4406,3171,1709,2506,1410,1544,1192,0,0,0,0,0
Economic Development and Government Oversight,"Economic Development, Department of",General Fund,Grants to Local Gov.,Community Projects Fund,10252,Comm Proj BB,0,0,0,0,121,0,18,697,980,808,76,147,83,0,1,23,75,34,97,327,126,0,0,0,0,0
Economic Development and Government Oversight,"Economic Development, Department of",General Fund,Grants to Local Gov.,Community Projects Fund,10253,Comm Proj CC,0,193,76,78,21,647,61,936,98,393,507,492,445,611,889,930,255,745,87,176,148,0,0,0,0,0
Economic Development and Government Oversight,"Economic Development, Department of",General Fund,Grants to Local Gov.,Community Projects Fund,10255,Comm Proj EE,0,0,0,0,0,0,0,0,15,52,111,88,50,0,3,0,29,137,131,210,201,0,0,0,0,0
Economic Development and Government Oversight,"Economic Development, Department of",General Fund,Grants to Local Gov.,Community Projects Fund,10256,Comm Proj GG,0,0,0,0,0,0,0,231,1332,29,65,210,136,123,52,0,69,866,2934,550,1020,0,0,0,0,0
Economic Development and Government Oversight,"Economic Development, Department of",General Fund,Grants to Local Gov.,Community Projects Fund,10257,Comm Proj II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,218,219,1471,946,307,0,0,0,0,0
Economic Development and Government Oversight,"Economic Development, Department of",General Fund,Grants to Local Gov.,Community Projects Fund,10258,Comm Proj JJ,0,0,0,0,0,0,0,70,2,11,7,4,0,3,15,5,102,169,683,1046,1136,0,0,0,0,0
Economic Development and Government Oversight,"Economic Development, Department of",General Fund,Grants to Local Gov.,Local Assistance Account,10000,Local Assistnce,52134,"55,567",52795,53670,44821,35749,31944,64023,48050,316,7970,6417,7901,9245,9239,7466,8484,9663,11432,12972,9593,7991,7323,9535,14083,10875
Economic Development and Government Oversight,"Economic Development, Department of",General Fund,Non-Personal Service,State Operations Account,10050,State Purposes,2515,"2,852",4680,6102,6811,6592,6333,7635,21753,5736,16141,20799,17067,14882,16782,18665,9828,-4818,43286,23583,25103,18002,20057,17548,19191,17896
Economic Development and Government Oversight,"Economic Development, Department of",General Fund,Personal Service,State Operations Account,10050,State Purposes,12826,"13,090",13240,13152,11974,11493,11478,11642,11196,11880,12973,13487,12478,12471,12560,12552,11960,12417,12577,12199,11464,12196,11094,12862,13919,17046
Economic Development and Government Oversight,"Economic Development, Department of",Special Revenue Funds - Federal,Fringe Benefits,Federal Employment and Training Grants,26000,DOL Fed Grants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,224,810,0
Economic Development and Government Oversight,"Economic Development, Department of",Special Revenue Funds - Federal,Indirect Costs,Federal Employment and Training Grants,26000,DOL Fed Grants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0
Economic Development and Government Oversight,"Economic Development, Department of",Special Revenue Funds - Federal,Non-Personal Service,Federal Employment and Training Grants,26000,DOL Fed Grants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1064,425,621,535,695,451,401
Economic Development and Government Oversight,"Economic Development, Department of",Special Revenue Funds - Federal,Personal Service,Federal Employment and Training Grants,26000,DOL Fed Grants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,158,0,0,63,371,731
Economic Development and Government Oversight,"Economic Development, Department of",Special Revenue Funds - Federal,Fringe Benefits,Federal Health and Human Services Fund,25100,Federal HHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Economic Development and Government Oversight,"Economic Development, Department of",Special Revenue Funds - Federal,Non-Personal Service,Federal Health and Human Services Fund,25100,Federal HHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
Economic Development and Government Oversight,"Economic Development, Department of",Special Revenue Funds - Federal,Personal Service,Federal Health and Human Services Fund,25100,Federal HHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
Economic Development and Government Oversight,"Economic Development, Department of",Special Revenue Funds - Federal,Fringe Benefits,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,253,-1
Economic Development and Government Oversight,"Economic Development, Department of",Special Revenue Funds - Federal,Grants to Local Gov.,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,8055,"7,360",6893,3850,7716,6079,7051,5246,2908,0,0,0,0,0,0,0,0,19468,0,168,94,121,19,47,324,169
Economic Development and Government Oversight,"Economic Development, Department of",Special Revenue Funds - Federal,Non-Personal Service,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,245,456,486,592,592,88,237,283,0,0,0,0,0,5,15,76,4,60,121,221,225,230,750,1753,3001,1359
Economic Development and Government Oversight,"Economic Development, Department of",Special Revenue Funds - Federal,Personal Service,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,242,121,444
Economic Development and Government Oversight,"Economic Development, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,21936,World Univ Game,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
Economic Development and Government Oversight,"Economic Development, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,21963,MWBD Certificat,0,0,0,0,0,0,0,0,0,0,0,0,47,6,0,0,0,70,0,0,0,0,5,5,0,1
Economic Development and Government Oversight,"Economic Development, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,21972,Econ Devel Asst,0,0,0,0,0,0,0,0,51,192,307,355,421,637,416,473,385,720,358,658,202,347,365,627,83,677
Economic Development and Government Oversight,"Economic Development, Department of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,21972,Econ Devel Asst,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24
Economic Development and Government Oversight,"Economic Development, Department of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,219WS,Port Authority,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,13
Economic Development and Government Oversight,"Economic Development, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,219WS,Port Authority,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,47,14
Economic Development and Government Oversight,"Economic Development, Department of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,219WS,Port Authority,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,152
Economic Development and Government Oversight,"Economic Development, Department of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,22011,Public Service,0,0,0,0,0,0,0,0,0,0,20,86,86,232,174,192,191,108,187,124,95,57,191,112,148,0
Economic Development and Government Oversight,"Economic Development, Department of",Special Revenue Funds - Other,Indirect Costs,Miscellaneous State Special Revenue,22011,Public Service,0,0,0,0,0,0,0,0,0,0,1,7,7,17,15,16,17,12,0,17,0,0,0,0,0,0
Economic Development and Government Oversight,"Economic Development, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22011,Public Service,0,0,0,0,0,0,0,0,0,0,0,21,76,72,165,50,130,142,30,55,71,41,423,312,534,0
Economic Development and Government Oversight,"Economic Development, Department of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,22011,Public Service,0,0,0,0,0,0,0,0,0,0,6,177,199,379,473,468,418,540,443,253,479,301,349,349,307,0
Economic Development and Government Oversight,"Economic Development, Department of",Special Revenue Funds - Other,Grants to Local Gov.,Miscellaneous State Special Revenue,22025,Comm Svce Assis,0,0,0,0,0,0,0,0,0,0,25,46,0,0,168,222,1202,3360,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Economic Development, Department of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,22042,DED Marketing A,28,0,2,0,0,0,0,0,0,21,0,1,32,41,22,28,24,22,25,11,25,9,33,0,20,4
Economic Development and Government Oversight,"Economic Development, Department of",Special Revenue Funds - Other,Indirect Costs,Miscellaneous State Special Revenue,22042,DED Marketing A,2,0,0,0,0,0,0,0,0,1,0,0,2,3,2,2,2,3,0,2,0,0,0,0,0,0
Economic Development and Government Oversight,"Economic Development, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22042,DED Marketing A,1710,"1,773",1416,1865,1603,1877,703,607,524,370,69,244,857,885,631,1093,929,897,808,862,927,1071,660,665,384,455
Economic Development and Government Oversight,"Economic Development, Department of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,22042,DED Marketing A,63,0,3,0,0,0,0,0,0,43,0,1,52,72,70,69,66,66,64,63,58,60,59,39,0,65
Economic Development and Government Oversight,"Economic Development, Department of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,22133,Procure Op News,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27,50,13,28,14,62,64,46,11
Economic Development and Government Oversight,"Economic Development, Department of",Special Revenue Funds - Other,Indirect Costs,Miscellaneous State Special Revenue,22133,Procure Op News,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,2,0,0,0,0,0,0
Economic Development and Government Oversight,"Economic Development, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22133,Procure Op News,135,95,66,64,76,101,292,141,47,10,86,45,13,9,430,89,623,673,568,649,677,583,447,393,587,846
Economic Development and Government Oversight,"Economic Development, Department of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,22133,Procure Op News,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,109,55,86,127,134,95,185
Economic Development and Government Oversight,"Economic Development, Department of",Special Revenue Funds - Other,Grants to Local Gov.,Miscellaneous State Special Revenue,22202,SBCI Account,0,0,0,250,17190,0,18266,0,18266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,Empire State Development Corporation,Capital Projects Funds - Other,Capital Projects,Capital Projects Fund,30000,Capital Project,37278,"7,000",3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2088,60506,0
Economic Development and Government Oversight,Empire State Development Corporation,Capital Projects Funds - Other,Grants to Local Gov.,Capital Projects Fund,30000,Capital Project,30000,"2,128",2110,17110,2128,2167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51268
Economic Development and Government Oversight,Empire State Development Corporation,Capital Projects Funds - Other,Capital Projects,Capital Projects Fund,300CC,CPF - Auth Bond,413667,"58,650",55126,75860,34005,66190,34161,19095,8446,4810,350765,321319,70988,43633,0,0,0,0,0,0,0,0,0,0,23991,6000
Economic Development and Government Oversight,Empire State Development Corporation,Capital Projects Funds - Other,Grants to Local Gov.,Capital Projects Fund,300CC,CPF - Auth Bond,873044,"975,052",853770,852132,624017,372902,417171,280184,655999,871262,154765,107071,76099,27213,0,0,0,14250,0,0,0,0,0,0,36705,0
Economic Development and Government Oversight,Empire State Development Corporation,Capital Projects Funds - Other,Grants to Local Gov.,Capital Projects Fund,300CI,CPF-JOBS NOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,Empire State Development Corporation,Capital Projects Funds - Other,Capital Projects,Capital Projects Fund,300CJ,CPF-Stadium,0,0,0,0,0,0,0,0,0,0,76334,29497,20000,20000,0,11751,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,Empire State Development Corporation,Capital Projects Funds - Other,Grants to Local Gov.,Capital Projects Fund,300CJ,CPF-Stadium,0,0,0,0,0,0,0,0,0,3569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,Empire State Development Corporation,Capital Projects Funds - Other,Capital Projects,Capital Projects Fund,300CK,CPF-DT Buffalo,0,0,0,0,0,0,333,0,0,0,1428,5426,9938,1550,0,6000,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,Empire State Development Corporation,Capital Projects Funds - Other,Grants to Local Gov.,Capital Projects Fund,300CK,CPF-DT Buffalo,0,0,0,0,0,0,10332,10798,373,3772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,Empire State Development Corporation,Capital Projects Funds - Other,Capital Projects,Dedicated Infrastructure Investment,330SF,Infra Inv-Set F,250643,"20,000",13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,Empire State Development Corporation,Capital Projects Funds - Other,Grants to Local Gov.,Dedicated Infrastructure Investment,330SF,Infra Inv-Set F,55000,"178,978",155769,39350,21000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,Empire State Development Corporation,Capital Projects Funds - Other,Capital Projects,Miscellaeous Capital Projects Fund,322CA,NY Racing Acct,0,0,0,0,-285,285,94,0,0,0,0,105000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,Empire State Development Corporation,Capital Projects Funds - Other,Grants to Local Gov.,Miscellaeous Capital Projects Fund,322CA,NY Racing Acct,0,0,0,0,-785,785,60,25000,212500,12500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,Empire State Development Corporation,General Fund,Grants to Local Gov.,Community Projects Fund,10251,Comm Proj AA,0,0,0,0,0,0,0,133,139,20,0,100,75,355,675,1250,842,620,20,270,75,0,0,0,0,0
Economic Development and Government Oversight,Empire State Development Corporation,General Fund,Grants to Local Gov.,Community Projects Fund,10252,Comm Proj BB,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
